file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
4854_0002_Empty_2_S6_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0002_Empty_2_S6_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0003_Empty_3_S7_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0003_Empty_3_S7_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0004_Empty_4_S8_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0004_Empty_4_S8_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0005_Empty_5_S9_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0005_Empty_5_S9_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0006_Empty_6_S10_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0006_Empty_6_S10_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0007_Empty_7_S11_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0007_Empty_7_S11_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0008_Empty_8_S12_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0008_Empty_8_S12_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0009_Empty_9_S13_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0009_Empty_9_S13_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0010_Empty_10_S14_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0010_Empty_10_S14_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0011_Empty_11_S15_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0011_Empty_11_S15_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0012_Empty_12_S16_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0012_Empty_12_S16_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0013_Empty_13_S17_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0013_Empty_13_S17_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0014_Empty_14_S18_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0014_Empty_14_S18_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0015_Empty_15_S19_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0015_Empty_15_S19_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0016_Empty_16_S20_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0016_Empty_16_S20_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0017_Empty_17_S21_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0017_Empty_17_S21_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0018_Empty_18_S22_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0018_Empty_18_S22_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0019_Empty_19_S23_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0019_Empty_19_S23_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0020_Empty_20_S24_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0020_Empty_20_S24_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0021_Empty_21_S25_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0021_Empty_21_S25_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0022_Empty_22_S26_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0022_Empty_22_S26_L001_R2_001.fastq.gz			0	0	0	0.0	0
4854_0023_Empty_23_S27_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0023_Empty_23_S27_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0024_Empty_24_S28_L001_R1_001.fastq.gz	FASTQ	DNA	2	600	300	300.0	300
4854_0024_Empty_24_S28_L001_R2_001.fastq.gz	FASTQ	DNA	2	600	300	300.0	300
4854_0025_Empty_25_S29_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0025_Empty_25_S29_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0026_Empty_26_S30_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0026_Empty_26_S30_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0027_Empty_27_S31_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0027_Empty_27_S31_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0028_Empty_28_S32_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0028_Empty_28_S32_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0029_Empty_29_S33_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0029_Empty_29_S33_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0030_Empty_30_S34_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0030_Empty_30_S34_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0031_Empty_31_S35_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0031_Empty_31_S35_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0032_Empty_32_S36_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0032_Empty_32_S36_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0033_Empty_33_S37_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0033_Empty_33_S37_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0034_Empty_34_S38_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0034_Empty_34_S38_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0035_Empty_35_S39_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0035_Empty_35_S39_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0036_Empty_36_S40_L001_R1_001.fastq.gz			0	0	0	0.0	0
4854_0036_Empty_36_S40_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0037_Empty_37_S41_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0037_Empty_37_S41_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0038_Empty_38_S42_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0038_Empty_38_S42_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0039_Empty_39_S43_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0039_Empty_39_S43_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0040_Empty_40_S44_L001_R1_001.fastq.gz	FASTQ	DNA	4	1200	300	300.0	300
4854_0040_Empty_40_S44_L001_R2_001.fastq.gz	FASTQ	DNA	4	1200	300	300.0	300
4854_0041_Empty_41_S45_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0041_Empty_41_S45_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0042_Empty_42_S46_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0042_Empty_42_S46_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0043_Empty_43_S47_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0043_Empty_43_S47_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0044_Empty_44_S48_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0044_Empty_44_S48_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0045_Empty_45_S49_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0045_Empty_45_S49_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0046_Empty_46_S50_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0046_Empty_46_S50_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0047_Empty_47_S51_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0047_Empty_47_S51_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0048_Empty_48_S52_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0048_Empty_48_S52_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0049_Empty_49_S53_L001_R1_001.fastq.gz	FASTQ	DNA	5	1500	300	300.0	300
4854_0049_Empty_49_S53_L001_R2_001.fastq.gz	FASTQ	DNA	5	1500	300	300.0	300
4854_0050_Empty_50_S54_L001_R1_001.fastq.gz	FASTQ	DNA	11	3300	300	300.0	300
4854_0050_Empty_50_S54_L001_R2_001.fastq.gz	FASTQ	DNA	11	3300	300	300.0	300
4854_0051_Empty_51_S55_L001_R1_001.fastq.gz	FASTQ	DNA	5	1500	300	300.0	300
4854_0051_Empty_51_S55_L001_R2_001.fastq.gz	FASTQ	DNA	5	1500	300	300.0	300
4854_0052_Empty_52_S56_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0052_Empty_52_S56_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0053_Empty_53_S57_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0053_Empty_53_S57_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0054_Empty_54_S58_L001_R1_001.fastq.gz	FASTQ	DNA	4	1200	300	300.0	300
4854_0054_Empty_54_S58_L001_R2_001.fastq.gz	FASTQ	DNA	4	1200	300	300.0	300
4854_0055_Empty_55_S59_L001_R1_001.fastq.gz	FASTQ	DNA	13	3900	300	300.0	300
4854_0055_Empty_55_S59_L001_R2_001.fastq.gz	FASTQ	DNA	13	3900	300	300.0	300
4854_0056_Empty_56_S60_L001_R1_001.fastq.gz	FASTQ	DNA	9	2700	300	300.0	300
4854_0056_Empty_56_S60_L001_R2_001.fastq.gz	FASTQ	DNA	9	2700	300	300.0	300
4854_0057_Empty_57_S61_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0057_Empty_57_S61_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0058_Empty_58_S62_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0058_Empty_58_S62_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0059_Empty_59_S63_L001_R1_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0059_Empty_59_S63_L001_R2_001.fastq.gz	FASTQ	DNA	1	300	300	300.0	300
4854_0060_Empty_60_S64_L001_R1_001.fastq.gz		DNA	0	0	0	0.0	0
4854_0060_Empty_60_S64_L001_R2_001.fastq.gz		DNA	0	0	0	0.0	0
