Empty_240_S459_R2_001.fastq.gz,1,-1.3333
ITS-SB_4_S740_R1_001.fastq.gz,144836,0.1548
ITS-NL2_4_S676_R1_001.fastq.gz,454736,0.3408
ITS-NL2_157_S249_R1_001.fastq.gz,272427,0.0094
Empty_427_S1128_R1_001.fastq.gz,13897,0.0561
ITSmix-NL2_125_S121_R1_001.fastq.gz,94962,0.0059
LSU-SB_104_S1384_R1_001.fastq.gz,45100,0.0133
SSU-NL2_160_S348_R2_001.fastq.gz,301693,0.0911
ITS-NL2_202_S730_R1_001.fastq.gz,263445,0.0318
Empty_327_S782_R2_001.fastq.gz,1,0.0000
SSU-NL2_3_S867_R1_001.fastq.gz,308960,-0.0024
SSU-NL2_144_S332_R2_001.fastq.gz,216646,0.0816
LSU-SB_115_S1395_R1_001.fastq.gz,18653,-0.0058
Empty_262_S481_R2_001.fastq.gz,17781,0.1260
Empty_286_S550_R1_001.fastq.gz,216817,-0.0032
ITSmix-NL2_114_S110_R2_001.fastq.gz,15703,0.2178
Empty_133_S220_R2_001.fastq.gz,126646,0.1624
Empty_518_S1240_R1_001.fastq.gz,3,-0.1290
ITS-SB_123_S1307_R1_001.fastq.gz,255279,0.0292
SSU-NL2_152_S340_R1_001.fastq.gz,435787,-0.0056
Empty_497_S1219_R2_001.fastq.gz,7,1.2619
Empty_260_S479_R1_001.fastq.gz,0,0.0000
Empty_252_S471_R1_001.fastq.gz,0,0.0000
ITS-NL2_140_S232_R1_001.fastq.gz,485552,0.0352
Empty_64_S64_R2_001.fastq.gz,2,0.3750
Empty_199_S418_R1_001.fastq.gz,0,0.0000
ITSmix-SB_24_S664_R2_001.fastq.gz,449686,0.1940
Empty_508_S1230_R1_001.fastq.gz,2,1.0909
SSU-NL2_6_S870_R1_001.fastq.gz,568591,-0.0247
ITS-SB_105_S1289_R2_001.fastq.gz,208206,-0.0970
LSU-SB_66_S1346_R1_001.fastq.gz,307182,-0.0044
LSU-NL2_160_S540_R2_001.fastq.gz,271278,0.1121
Empty_526_S1248_R1_001.fastq.gz,1,0.0000
ITSmix-NL2_118_S114_R1_001.fastq.gz,9491,0.0104
Empty_417_S948_R1_001.fastq.gz,422050,-0.0039
ITSmix-NL2_167_S163_R1_001.fastq.gz,163340,0.0463
ITS-NL2_169_S261_R2_001.fastq.gz,9304,0.0986
Empty_11_S11_R1_001.fastq.gz,2,-0.0800
ITSmix-NL2_32_S608_R1_001.fastq.gz,548377,-0.0082
LSU-SB_138_S1418_R2_001.fastq.gz,361970,0.1085
ITSmix-SB_99_S1091_R1_001.fastq.gz,219057,0.1191
Empty_49_S49_R2_001.fastq.gz,3,0.0000
ITSmix-NL2_12_S588_R1_001.fastq.gz,374243,0.1165
LSU-NL2_169_S549_R2_001.fastq.gz,19219,0.1118
SSU-Blank3_S1536_R1_001.fastq.gz,57208,0.0329
Empty_17_S17_R1_001.fastq.gz,2,0.0000
ITSmix-NL2_133_S129_R2_001.fastq.gz,66751,0.3529
Empty_12_S12_R1_001.fastq.gz,1,-0.8571
ITS-SB_24_S760_R2_001.fastq.gz,302841,0.0947
LSU-NL2_127_S507_R2_001.fastq.gz,14484,0.0784
