file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
4854_0002_Empty_2_S6_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0002_Empty_2_S6_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0003_Empty_3_S7_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0003_Empty_3_S7_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0004_Empty_4_S8_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0004_Empty_4_S8_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0005_Empty_5_S9_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0005_Empty_5_S9_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0006_Empty_6_S10_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0006_Empty_6_S10_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0007_Empty_7_S11_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0007_Empty_7_S11_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0008_Empty_8_S12_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0008_Empty_8_S12_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0009_Empty_9_S13_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0009_Empty_9_S13_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0010_Empty_10_S14_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0010_Empty_10_S14_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0011_Empty_11_S15_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0011_Empty_11_S15_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
4854_0012_Empty_12_S16_L001_trimmed_R1_001.fastq.gz			0	0	0	0.0	0
4854_0012_Empty_12_S16_L001_trimmed_R2_001.fastq.gz			0	0	0	0.0	0
