Category,Nreads
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,1
Empty,1
Empty,2
Empty,2
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,1
Empty,1
Empty,1
Empty,1
Empty,1
Empty,1
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,4
Empty,4
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,5
Empty,5
Empty,11
Empty,11
Empty,5
Empty,5
Empty,0
Empty,0
Empty,0
Empty,0
Empty,4
Empty,4
Empty,13
Empty,13
Empty,9
Empty,9
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,5
Empty,5
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,1
Empty,1
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,0
Empty,3
Empty,3
Empty,0
Empty,0
Empty,2
Empty,2
Empty,1
Empty,1
Empty,0
Empty,0
Empty,1
Empty,1
Empty,1
Empty,1
Empty,0
Empty,0
Empty,0
Empty,0
Empty,2
Empty,2
Empty,1
Empty,1
Empty,3
Empty,3
Demultiplexed,6
Demultiplexed,6
Demultiplexed,11695
Demultiplexed,11695
Demultiplexed,14457
Demultiplexed,14457
Demultiplexed,3913
Demultiplexed,3913
Demultiplexed,3599
Demultiplexed,3599
Demultiplexed,13658
Demultiplexed,13658
Empty,18893
Empty,18893
Demultiplexed,19289
Demultiplexed,19289
Empty,3371
Empty,3371
Empty,87459
Empty,87459
Demultiplexed,71079
Demultiplexed,71079
Demultiplexed,77193
Demultiplexed,77193
Demultiplexed,21591
Demultiplexed,21591
Demultiplexed,572
Demultiplexed,572
Empty,2
Empty,2
Empty,4
Empty,4
Demultiplexed,31456
Demultiplexed,31456
Demultiplexed,2
Demultiplexed,2
Empty,27338
Empty,27338
Demultiplexed,1
Demultiplexed,1
Demultiplexed,1
Demultiplexed,1
Demultiplexed,28031
Demultiplexed,28031
Demultiplexed,2
Demultiplexed,2
Empty,92548
Empty,92548
Demultiplexed,44808
Demultiplexed,44808
Demultiplexed,5
Demultiplexed,5
Demultiplexed,9
Demultiplexed,9
Empty,30077
Empty,30077
Demultiplexed,51484
Demultiplexed,51484
Empty,40317
Empty,40317
Empty,141761
Empty,141761
Empty,103180
Empty,103180
Demultiplexed,25256
Demultiplexed,25256
Empty,5905
Empty,5905
Empty,9
Empty,9
Demultiplexed,4
Demultiplexed,4
Demultiplexed,68525
Demultiplexed,68525
Demultiplexed,71843
Demultiplexed,71843
Demultiplexed,59883
Demultiplexed,59883
Demultiplexed,60979
Demultiplexed,60979
Demultiplexed,105472
Demultiplexed,105472
Demultiplexed,61128
Demultiplexed,61128
Demultiplexed,102636
Demultiplexed,102636
Demultiplexed,57057
Demultiplexed,57057
Empty,2
Empty,2
Demultiplexed,40441
Demultiplexed,40441
Empty,134350
Empty,134350
Demultiplexed,124046
Demultiplexed,124046
Demultiplexed,4
Demultiplexed,4
Demultiplexed,162683
Demultiplexed,162683
Empty,70942
Empty,70942
Demultiplexed,58995
Demultiplexed,58995
Demultiplexed,48576
Demultiplexed,48576
Empty,48625
Empty,48625
Demultiplexed,9
Demultiplexed,9
Empty,93538
Empty,93538
Empty,52770
Empty,52770
Demultiplexed,129994
Demultiplexed,129994
Empty,86045
Empty,86045
Demultiplexed,68338
Demultiplexed,68338
Demultiplexed,11
Demultiplexed,11
Demultiplexed,129109
Demultiplexed,129109
Demultiplexed,159213
Demultiplexed,159213
Demultiplexed,94425
Demultiplexed,94425
Empty,97161
Empty,97161
Demultiplexed,90364
Demultiplexed,90364
Demultiplexed,94750
Demultiplexed,94750
Empty,6
Empty,6
Demultiplexed,253925
Demultiplexed,253925
Empty,100882
Empty,100882
Empty,203182
Empty,203182
Demultiplexed,87467
Demultiplexed,87467
Demultiplexed,49113
Demultiplexed,49113
Demultiplexed,65480
Demultiplexed,65480
Empty,1
Empty,1
Empty,60660
Empty,60660
Demultiplexed,46771
Demultiplexed,46771
Empty,173194
Empty,173194
Empty,108487
Empty,108487
Demultiplexed,119107
Demultiplexed,119107
Empty,38790
Empty,38790
Demultiplexed,33143
Demultiplexed,33143
Demultiplexed,47463
Demultiplexed,47463
Demultiplexed,97729
Demultiplexed,97729
Demultiplexed,40775
Demultiplexed,40775
Empty,75588
Empty,75588
Demultiplexed,88954
Demultiplexed,88954
Demultiplexed,93951
Demultiplexed,93951
Demultiplexed,20473
Demultiplexed,20473
Demultiplexed,38801
Demultiplexed,38801
Demultiplexed,16005
Demultiplexed,16005
Demultiplexed,24421
Demultiplexed,24421
Demultiplexed,32692
Demultiplexed,32692
Empty,28171
Empty,28171
Empty,85421
Empty,85421
Demultiplexed,21738
Demultiplexed,21738
Empty,171902
Empty,171902
Demultiplexed,208763
Demultiplexed,208763
Demultiplexed,154742
Demultiplexed,154742
Demultiplexed,176976
Demultiplexed,176976
Demultiplexed,208679
Demultiplexed,208679
Demultiplexed,265754
Demultiplexed,265754
Empty,218611
Empty,218611
Demultiplexed,264382
Demultiplexed,264382
Demultiplexed,103027
Demultiplexed,103027
Demultiplexed,203574
Demultiplexed,203574
Demultiplexed,188997
Demultiplexed,188997
Demultiplexed,174969
Demultiplexed,174969
Demultiplexed,206070
Demultiplexed,206070
Demultiplexed,152890
Demultiplexed,152890
Empty,205715
Empty,205715
Empty,2
Empty,2
Demultiplexed,175843
Demultiplexed,175843
Demultiplexed,5
Demultiplexed,5
Demultiplexed,337074
Demultiplexed,337074
Demultiplexed,285071
Demultiplexed,285071
Demultiplexed,12
Demultiplexed,12
Demultiplexed,177817
Demultiplexed,177817
Demultiplexed,1
Demultiplexed,1
Demultiplexed,375107
Demultiplexed,375107
Demultiplexed,115562
Demultiplexed,115562
Demultiplexed,2
Demultiplexed,2
Demultiplexed,9
Demultiplexed,9
Empty,79285
Empty,79285
Empty,110485
Empty,110485
Demultiplexed,118737
Demultiplexed,118737
Demultiplexed,2
Demultiplexed,2
Demultiplexed,122491
Demultiplexed,122491
Demultiplexed,167811
Demultiplexed,167811
Empty,129563
Empty,129563
Demultiplexed,175538
Demultiplexed,175538
Demultiplexed,155197
Demultiplexed,155197
Demultiplexed,245567
Demultiplexed,245567
Demultiplexed,7
Demultiplexed,7
Empty,196285
Empty,196285
Demultiplexed,302691
Demultiplexed,302691
Empty,174768
Empty,174768
Demultiplexed,157661
Demultiplexed,157661
Demultiplexed,9
Demultiplexed,9
Demultiplexed,155385
Demultiplexed,155385
Empty,4
Empty,4
Demultiplexed,124959
Demultiplexed,124959
Demultiplexed,21
Demultiplexed,21
Demultiplexed,295195
Demultiplexed,295195
Demultiplexed,8
Demultiplexed,8
Demultiplexed,2
Demultiplexed,2
Empty,12
Empty,12
Demultiplexed,147104
Demultiplexed,147104
Demultiplexed,5
Demultiplexed,5
Empty,202053
Empty,202053
Demultiplexed,3
Demultiplexed,3
Empty,206408
Empty,206408
Demultiplexed,183572
Demultiplexed,183572
Demultiplexed,242328
Demultiplexed,242328
Demultiplexed,5
Demultiplexed,5
Demultiplexed,198353
Demultiplexed,198353
Demultiplexed,8
Demultiplexed,8
Demultiplexed,12
Demultiplexed,12
Demultiplexed,258659
Demultiplexed,258659
Demultiplexed,225495
Demultiplexed,225495
Demultiplexed,4
Demultiplexed,4
Demultiplexed,115006
Demultiplexed,115006
Demultiplexed,188021
Demultiplexed,188021
Demultiplexed,3
Demultiplexed,3
Demultiplexed,2
Demultiplexed,2
Demultiplexed,184871
Demultiplexed,184871
Demultiplexed,1
Demultiplexed,1
Demultiplexed,124384
Demultiplexed,124384
Demultiplexed,8
Demultiplexed,8
Empty,147996
Empty,147996
Empty,9
Empty,9
Demultiplexed,115176
