file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Empty_100_S111_R1_001.fastq.gz	FASTQ	DNA	9908	2982308	301	301.0	301
Empty_100_S111_R2_001.fastq.gz	FASTQ	DNA	9908	2982308	301	301.0	301
Empty_101_S112_R1_001.fastq.gz	FASTQ	DNA	15530	4674530	301	301.0	301
Empty_101_S112_R2_001.fastq.gz	FASTQ	DNA	15530	4674530	301	301.0	301
Empty_102_S115_R1_001.fastq.gz	FASTQ	DNA	59758	17987158	301	301.0	301
Empty_102_S115_R2_001.fastq.gz	FASTQ	DNA	59758	17987158	301	301.0	301
Empty_103_S120_R1_001.fastq.gz	FASTQ	DNA	200115	60234615	301	301.0	301
Empty_103_S120_R2_001.fastq.gz	FASTQ	DNA	200115	60234615	301	301.0	301
Empty_104_S124_R1_001.fastq.gz	FASTQ	DNA	70644	21263844	301	301.0	301
Empty_104_S124_R2_001.fastq.gz	FASTQ	DNA	70644	21263844	301	301.0	301
Empty_105_S126_R1_001.fastq.gz	FASTQ	DNA	95382	28709982	301	301.0	301
Empty_105_S126_R2_001.fastq.gz	FASTQ	DNA	95382	28709982	301	301.0	301
Empty_106_S127_R1_001.fastq.gz	FASTQ	DNA	206721	62223021	301	301.0	301
Empty_106_S127_R2_001.fastq.gz	FASTQ	DNA	206721	62223021	301	301.0	301
Empty_107_S128_R1_001.fastq.gz	FASTQ	DNA	244286	73530086	301	301.0	301
Empty_107_S128_R2_001.fastq.gz	FASTQ	DNA	244286	73530086	301	301.0	301
Empty_108_S130_R1_001.fastq.gz	FASTQ	DNA	32546	9796346	301	301.0	301
Empty_108_S130_R2_001.fastq.gz	FASTQ	DNA	32546	9796346	301	301.0	301
Empty_109_S131_R1_001.fastq.gz	FASTQ	DNA	14132	4253732	301	301.0	301
Empty_109_S131_R2_001.fastq.gz	FASTQ	DNA	14132	4253732	301	301.0	301
Empty_10_S10_R1_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_10_S10_R2_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_110_S141_R1_001.fastq.gz	FASTQ	DNA	11566	3481366	301	301.0	301
Empty_110_S141_R2_001.fastq.gz	FASTQ	DNA	11566	3481366	301	301.0	301
Empty_111_S143_R1_001.fastq.gz	FASTQ	DNA	189115	56923615	301	301.0	301
Empty_111_S143_R2_001.fastq.gz	FASTQ	DNA	189115	56923615	301	301.0	301
Empty_112_S147_R1_001.fastq.gz	FASTQ	DNA	120098	36149498	301	301.0	301
Empty_112_S147_R2_001.fastq.gz	FASTQ	DNA	120098	36149498	301	301.0	301
Empty_113_S150_R1_001.fastq.gz	FASTQ	DNA	88950	26773950	301	301.0	301
Empty_113_S150_R2_001.fastq.gz	FASTQ	DNA	88950	26773950	301	301.0	301
Empty_114_S152_R1_001.fastq.gz	FASTQ	DNA	189976	57182776	301	301.0	301
Empty_114_S152_R2_001.fastq.gz	FASTQ	DNA	189976	57182776	301	301.0	301
Empty_115_S153_R1_001.fastq.gz	FASTQ	DNA	97585	29373085	301	301.0	301
Empty_115_S153_R2_001.fastq.gz	FASTQ	DNA	97585	29373085	301	301.0	301
Empty_116_S155_R1_001.fastq.gz	FASTQ	DNA	151189	45507889	301	301.0	301
Empty_116_S155_R2_001.fastq.gz	FASTQ	DNA	151189	45507889	301	301.0	301
Empty_117_S161_R1_001.fastq.gz	FASTQ	DNA	175655	52872155	301	301.0	301
Empty_117_S161_R2_001.fastq.gz	FASTQ	DNA	175655	52872155	301	301.0	301
Empty_118_S164_R1_001.fastq.gz	FASTQ	DNA	14497	4363597	301	301.0	301
Empty_118_S164_R2_001.fastq.gz	FASTQ	DNA	14497	4363597	301	301.0	301
Empty_119_S166_R1_001.fastq.gz	FASTQ	DNA	192451	57927751	301	301.0	301
Empty_119_S166_R2_001.fastq.gz	FASTQ	DNA	192451	57927751	301	301.0	301
Empty_11_S11_R1_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_11_S11_R2_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_120_S167_R1_001.fastq.gz	FASTQ	DNA	267349	80472049	301	301.0	301
Empty_120_S167_R2_001.fastq.gz	FASTQ	DNA	267349	80472049	301	301.0	301
Empty_121_S171_R1_001.fastq.gz	FASTQ	DNA	14826	4462626	301	301.0	301
Empty_121_S171_R2_001.fastq.gz	FASTQ	DNA	14826	4462626	301	301.0	301
Empty_122_S172_R1_001.fastq.gz	FASTQ	DNA	116171	34967471	301	301.0	301
Empty_122_S172_R2_001.fastq.gz	FASTQ	DNA	116171	34967471	301	301.0	301
Empty_123_S174_R1_001.fastq.gz	FASTQ	DNA	272914	82147114	301	301.0	301
Empty_123_S174_R2_001.fastq.gz	FASTQ	DNA	272914	82147114	301	301.0	301
Empty_124_S175_R1_001.fastq.gz	FASTQ	DNA	161468	48601868	301	301.0	301
Empty_124_S175_R2_001.fastq.gz	FASTQ	DNA	161468	48601868	301	301.0	301
Empty_125_S177_R1_001.fastq.gz	FASTQ	DNA	75835	22826335	301	301.0	301
Empty_125_S177_R2_001.fastq.gz	FASTQ	DNA	75835	22826335	301	301.0	301
Empty_126_S182_R1_001.fastq.gz	FASTQ	DNA	138089	41564789	301	301.0	301
Empty_126_S182_R2_001.fastq.gz	FASTQ	DNA	138089	41564789	301	301.0	301
Empty_127_S190_R1_001.fastq.gz	FASTQ	DNA	65878	19829278	301	301.0	301
Empty_127_S190_R2_001.fastq.gz	FASTQ	DNA	65878	19829278	301	301.0	301
Empty_128_S191_R1_001.fastq.gz	FASTQ	DNA	128220	38594220	301	301.0	301
Empty_128_S191_R2_001.fastq.gz	FASTQ	DNA	128220	38594220	301	301.0	301
Empty_129_S193_R1_001.fastq.gz	FASTQ	DNA	280154	84326354	301	301.0	301
Empty_129_S193_R2_001.fastq.gz	FASTQ	DNA	280154	84326354	301	301.0	301
Empty_12_S12_R1_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_12_S12_R2_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_130_S199_R1_001.fastq.gz	FASTQ	DNA	296674	89298874	301	301.0	301
Empty_130_S199_R2_001.fastq.gz	FASTQ	DNA	296674	89298874	301	301.0	301
Empty_131_S207_R1_001.fastq.gz	FASTQ	DNA	238362	71746962	301	301.0	301
Empty_131_S207_R2_001.fastq.gz	FASTQ	DNA	238362	71746962	301	301.0	301
Empty_132_S208_R1_001.fastq.gz	FASTQ	DNA	18042	5430642	301	301.0	301
Empty_132_S208_R2_001.fastq.gz	FASTQ	DNA	18042	5430642	301	301.0	301
Empty_133_S220_R1_001.fastq.gz	FASTQ	DNA	126646	38120446	301	301.0	301
Empty_133_S220_R2_001.fastq.gz	FASTQ	DNA	126646	38120446	301	301.0	301
Empty_134_S221_R1_001.fastq.gz	FASTQ	DNA	158584	47733784	301	301.0	301
Empty_134_S221_R2_001.fastq.gz	FASTQ	DNA	158584	47733784	301	301.0	301
Empty_135_S226_R1_001.fastq.gz	FASTQ	DNA	197486	59443286	301	301.0	301
Empty_135_S226_R2_001.fastq.gz	FASTQ	DNA	197486	59443286	301	301.0	301
Empty_136_S231_R1_001.fastq.gz	FASTQ	DNA	256374	77168574	301	301.0	301
Empty_136_S231_R2_001.fastq.gz	FASTQ	DNA	256374	77168574	301	301.0	301
Empty_137_S233_R1_001.fastq.gz	FASTQ	DNA	244635	73635135	301	301.0	301
Empty_137_S233_R2_001.fastq.gz	FASTQ	DNA	244635	73635135	301	301.0	301
Empty_138_S237_R1_001.fastq.gz	FASTQ	DNA	11778	3545178	301	301.0	301
Empty_138_S237_R2_001.fastq.gz	FASTQ	DNA	11778	3545178	301	301.0	301
Empty_139_S243_R1_001.fastq.gz	FASTQ	DNA	13885	4179385	301	301.0	301
Empty_139_S243_R2_001.fastq.gz	FASTQ	DNA	13885	4179385	301	301.0	301
Empty_13_S13_R1_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_13_S13_R2_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_140_S246_R1_001.fastq.gz	FASTQ	DNA	270973	81562873	301	301.0	301
Empty_140_S246_R2_001.fastq.gz	FASTQ	DNA	270973	81562873	301	301.0	301
Empty_141_S248_R1_001.fastq.gz	FASTQ	DNA	329536	99190336	301	301.0	301
Empty_141_S248_R2_001.fastq.gz	FASTQ	DNA	329536	99190336	301	301.0	301
Empty_142_S266_R1_001.fastq.gz	FASTQ	DNA	238965	71928465	301	301.0	301
Empty_142_S266_R2_001.fastq.gz	FASTQ	DNA	238965	71928465	301	301.0	301
Empty_143_S267_R1_001.fastq.gz	FASTQ	DNA	13573	4085473	301	301.0	301
Empty_143_S267_R2_001.fastq.gz	FASTQ	DNA	13573	4085473	301	301.0	301
Empty_144_S271_R1_001.fastq.gz	FASTQ	DNA	467572	140739172	301	301.0	301
Empty_144_S271_R2_001.fastq.gz	FASTQ	DNA	467572	140739172	301	301.0	301
Empty_145_S278_R1_001.fastq.gz	FASTQ	DNA	13101	3943401	301	301.0	301
Empty_145_S278_R2_001.fastq.gz	FASTQ	DNA	13101	3943401	301	301.0	301
Empty_146_S289_R1_001.fastq.gz	FASTQ	DNA	15823	4762723	301	301.0	301
Empty_146_S289_R2_001.fastq.gz	FASTQ	DNA	15823	4762723	301	301.0	301
Empty_147_S302_R1_001.fastq.gz	FASTQ	DNA	465773	140197673	301	301.0	301
Empty_147_S302_R2_001.fastq.gz	FASTQ	DNA	465773	140197673	301	301.0	301
Empty_148_S303_R1_001.fastq.gz	FASTQ	DNA	15042	4527642	301	301.0	301
Empty_148_S303_R2_001.fastq.gz	FASTQ	DNA	15042	4527642	301	301.0	301
Empty_149_S304_R1_001.fastq.gz	FASTQ	DNA	23337	7024437	301	301.0	301
Empty_149_S304_R2_001.fastq.gz	FASTQ	DNA	23337	7024437	301	301.0	301
Empty_14_S14_R1_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_14_S14_R2_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_150_S316_R1_001.fastq.gz	FASTQ	DNA	460747	138684847	301	301.0	301
Empty_150_S316_R2_001.fastq.gz	FASTQ	DNA	460747	138684847	301	301.0	301
Empty_151_S317_R1_001.fastq.gz	FASTQ	DNA	321079	96644779	301	301.0	301
Empty_151_S317_R2_001.fastq.gz	FASTQ	DNA	321079	96644779	301	301.0	301
Empty_152a_S318_R1_001.fastq.gz	FASTQ	DNA	505252	152080852	301	301.0	301
Empty_152a_S318_R2_001.fastq.gz	FASTQ	DNA	505252	152080852	301	301.0	301
Empty_152b_S322_R1_001.fastq.gz	FASTQ	DNA	294651	88689951	301	301.0	301
Empty_152b_S322_R2_001.fastq.gz	FASTQ	DNA	294651	88689951	301	301.0	301
Empty_153_S327_R1_001.fastq.gz	FASTQ	DNA	380653	114576553	301	301.0	301
Empty_153_S327_R2_001.fastq.gz	FASTQ	DNA	380653	114576553	301	301.0	301
Empty_154_S329_R1_001.fastq.gz	FASTQ	DNA	287065	86406565	301	301.0	301
Empty_154_S329_R2_001.fastq.gz	FASTQ	DNA	287065	86406565	301	301.0	301
Empty_155_S333_R1_001.fastq.gz	FASTQ	DNA	10856	3267656	301	301.0	301
Empty_155_S333_R2_001.fastq.gz	FASTQ	DNA	10856	3267656	301	301.0	301
Empty_156_S342_R1_001.fastq.gz	FASTQ	DNA	347648	104642048	301	301.0	301
Empty_156_S342_R2_001.fastq.gz	FASTQ	DNA	347648	104642048	301	301.0	301
Empty_157_S344_R1_001.fastq.gz	FASTQ	DNA	366428	110294828	301	301.0	301
Empty_157_S344_R2_001.fastq.gz	FASTQ	DNA	366428	110294828	301	301.0	301
Empty_158_S345_R1_001.fastq.gz	FASTQ	DNA	337803	101678703	301	301.0	301
Empty_158_S345_R2_001.fastq.gz	FASTQ	DNA	337803	101678703	301	301.0	301
Empty_159_S347_R1_001.fastq.gz	FASTQ	DNA	444894	133913094	301	301.0	301
Empty_159_S347_R2_001.fastq.gz	FASTQ	DNA	444894	133913094	301	301.0	301
Empty_15_S15_R1_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_15_S15_R2_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_160_S353_R1_001.fastq.gz	FASTQ	DNA	337016	101441816	301	301.0	301
Empty_160_S353_R2_001.fastq.gz	FASTQ	DNA	337016	101441816	301	301.0	301
Empty_161_S362_R1_001.fastq.gz	FASTQ	DNA	339666	102239466	301	301.0	301
Empty_161_S362_R2_001.fastq.gz	FASTQ	DNA	339666	102239466	301	301.0	301
Empty_162_S363_R1_001.fastq.gz	FASTQ	DNA	12437	3743537	301	301.0	301
Empty_162_S363_R2_001.fastq.gz	FASTQ	DNA	12437	3743537	301	301.0	301
Empty_163_S364_R1_001.fastq.gz	FASTQ	DNA	377153	113523053	301	301.0	301
Empty_163_S364_R2_001.fastq.gz	FASTQ	DNA	377153	113523053	301	301.0	301
Empty_164_S367_R1_001.fastq.gz	FASTQ	DNA	469019	141174719	301	301.0	301
Empty_164_S367_R2_001.fastq.gz	FASTQ	DNA	469019	141174719	301	301.0	301
Empty_165_S374_R1_001.fastq.gz	FASTQ	DNA	328972	99020572	301	301.0	301
Empty_165_S374_R2_001.fastq.gz	FASTQ	DNA	328972	99020572	301	301.0	301
Empty_166_S385_R1_001.fastq.gz	FASTQ	DNA	3	903	301	301.0	301
Empty_166_S385_R2_001.fastq.gz	FASTQ	DNA	3	903	301	301.0	301
Empty_167_S386_R1_001.fastq.gz	FASTQ	DNA	3	903	301	301.0	301
Empty_167_S386_R2_001.fastq.gz	FASTQ	DNA	3	903	301	301.0	301
Empty_168_S387_R1_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_168_S387_R2_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_169_S388_R1_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_169_S388_R2_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_16_S16_R1_001.fastq.gz	FASTQ	DNA	3	903	301	301.0	301
Empty_16_S16_R2_001.fastq.gz	FASTQ	DNA	3	903	301	301.0	301
Empty_170_S389_R1_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_170_S389_R2_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_171_S390_R1_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_171_S390_R2_001.fastq.gz	FASTQ	DNA	2	602	301	301.0	301
Empty_172_S391_R1_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_172_S391_R2_001.fastq.gz		DNA	0	0	0	0.0	0
Empty_173_S392_R1_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_173_S392_R2_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_174_S393_R1_001.fastq.gz	FASTQ	DNA	25	7525	301	301.0	301
Empty_174_S393_R2_001.fastq.gz	FASTQ	DNA	25	7525	301	301.0	301
Empty_175_S394_R1_001.fastq.gz	FASTQ	DNA	9	2709	301	301.0	301
Empty_175_S394_R2_001.fastq.gz	FASTQ	DNA	9	2709	301	301.0	301
Empty_176_S395_R1_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_176_S395_R2_001.fastq.gz	FASTQ	DNA	1	301	301	301.0	301
Empty_177_S396_R1_001.fastq.gz	FASTQ	DNA	12	3612	301	301.0	301
