Category,Nreads
Empty,1
Demultiplexed,144836
Demultiplexed,454736
Demultiplexed,272427
Empty,13897
Demultiplexed,94962
Demultiplexed,45100
Demultiplexed,301693
Demultiplexed,263445
Empty,1
Demultiplexed,308960
Demultiplexed,216646
Demultiplexed,18653
Empty,17781
Empty,216817
Demultiplexed,15703
Empty,126646
Empty,3
Demultiplexed,255279
Demultiplexed,435787
Empty,7
Empty,0
Empty,0
Demultiplexed,485552
Empty,2
Empty,0
Demultiplexed,449686
Empty,2
Demultiplexed,568591
Demultiplexed,208206
Demultiplexed,307182
Demultiplexed,271278
Empty,1
Demultiplexed,9491
Empty,422050
Demultiplexed,163340
Demultiplexed,9304
Empty,2
Demultiplexed,548377
Demultiplexed,361970
Demultiplexed,219057
Empty,3
Demultiplexed,374243
Demultiplexed,19219
Demultiplexed,57208
Empty,2
Demultiplexed,66751
Empty,1
Demultiplexed,302841
Demultiplexed,14484
Demultiplexed,50102
Demultiplexed,9491
Demultiplexed,318876
Empty,1
Demultiplexed,115403
Empty,286987
Demultiplexed,269242
Demultiplexed,321601
Empty,4
Demultiplexed,199077
Empty,329536
Demultiplexed,378336
Empty,10
Demultiplexed,21422
Demultiplexed,319207
Empty,3
Empty,0
Empty,0
Demultiplexed,17199
Empty,1
Demultiplexed,89222
Demultiplexed,197760
Demultiplexed,365612
Empty,7
Demultiplexed,286888
Demultiplexed,269690
Demultiplexed,312952
Empty,0
Demultiplexed,324397
Demultiplexed,13253
Empty,265424
Demultiplexed,184107
Demultiplexed,10450
Empty,120098
Demultiplexed,247150
Demultiplexed,330254
Demultiplexed,436097
Empty,2
Demultiplexed,377809
Empty,0
Demultiplexed,268559
Demultiplexed,431352
Demultiplexed,440550
Empty,371790
Demultiplexed,156474
Empty,8
Empty,268458
Demultiplexed,1184901
Empty,287065
Empty,367915
Demultiplexed,205688
Empty,394237
Demultiplexed,367673
Empty,0
Empty,371790
Demultiplexed,273953
Empty,7
Demultiplexed,295302
Empty,3
Demultiplexed,358199
Demultiplexed,371007
Demultiplexed,221340
Demultiplexed,16939
Demultiplexed,10494
